timestamp_utc,open_interest,volume,trade_open,trade_high,trade_low,trade_close,trade_mean,trade_previous,yes_bid_close,yes_ask_close,timestamp_et,midpoint,spread,trade_close_filled
2026-04-29 15:42:00+00:00,311830.55,0.0,,,,,,0.509,0.51,0.519,2026-04-29 11:42:00-04:00,0.5145,0.009000000000000008,0.509
2026-04-29 15:43:00+00:00,311830.55,0.0,,,,,,0.509,0.51,0.519,2026-04-29 11:43:00-04:00,0.5145,0.009000000000000008,0.509
2026-04-29 15:59:00+00:00,311830.55,18.62,0.519,0.519,0.519,0.519,0.519,0.509,0.511,0.519,2026-04-29 11:59:00-04:00,0.515,0.008000000000000007,0.519
2026-04-29 16:00:00+00:00,311830.55,0.0,,,,,,0.519,0.511,0.519,2026-04-29 12:00:00-04:00,0.515,0.008000000000000007,0.519
2026-04-29 16:03:00+00:00,313653.77,4794.04,0.519,0.52,0.519,0.52,0.5194,0.519,0.513,0.525,2026-04-29 12:03:00-04:00,0.519,0.01200000000000001,0.52
2026-04-29 16:04:00+00:00,313653.77,0.0,,,,,,0.52,0.514,0.53,2026-04-29 12:04:00-04:00,0.522,0.016000000000000014,0.52
2026-04-29 16:10:00+00:00,313653.77,0.0,,,,,,0.52,0.516,0.53,2026-04-29 12:10:00-04:00,0.523,0.014000000000000012,0.52
2026-04-29 16:11:00+00:00,313653.77,0.0,,,,,,0.52,0.516,0.53,2026-04-29 12:11:00-04:00,0.523,0.014000000000000012,0.52
2026-04-29 16:14:00+00:00,313653.77,0.0,,,,,,0.52,0.519,0.53,2026-04-29 12:14:00-04:00,0.5245,0.01100000000000001,0.52
2026-04-29 16:18:00+00:00,313653.77,0.0,,,,,,0.52,0.519,0.53,2026-04-29 12:18:00-04:00,0.5245,0.01100000000000001,0.52
2026-04-29 16:19:00+00:00,313653.77,0.0,,,,,,0.52,0.52,0.53,2026-04-29 12:19:00-04:00,0.525,0.010000000000000009,0.52
2026-04-29 16:21:00+00:00,313653.77,0.0,,,,,,0.52,0.52,0.53,2026-04-29 12:21:00-04:00,0.525,0.010000000000000009,0.52
2026-04-29 16:24:00+00:00,313653.77,232.0,0.52,0.52,0.52,0.52,0.52,0.52,0.521,0.53,2026-04-29 12:24:00-04:00,0.5255000000000001,0.009000000000000008,0.52
2026-04-29 16:29:00+00:00,313833.77,200.0,0.53,0.555,0.53,0.555,0.5349,0.52,0.523,0.555,2026-04-29 12:29:00-04:00,0.539,0.03200000000000003,0.555
2026-04-29 16:30:00+00:00,313833.77,0.0,,,,,,0.555,0.534,0.555,2026-04-29 12:30:00-04:00,0.5445,0.02100000000000002,0.555
2026-04-29 16:31:00+00:00,313833.77,0.0,,,,,,0.555,0.534,0.556,2026-04-29 12:31:00-04:00,0.545,0.02200000000000002,0.555
2026-04-29 16:34:00+00:00,313833.77,0.0,,,,,,0.555,0.536,0.556,2026-04-29 12:34:00-04:00,0.546,0.020000000000000018,0.555
2026-04-29 16:45:00+00:00,313833.77,0.0,,,,,,0.555,0.531,0.556,2026-04-29 12:45:00-04:00,0.5435000000000001,0.025000000000000022,0.555
2026-04-29 16:47:00+00:00,313833.77,0.0,,,,,,0.555,0.531,0.569,2026-04-29 12:47:00-04:00,0.55,0.03799999999999992,0.555
2026-04-29 16:49:00+00:00,313833.77,0.0,,,,,,0.555,0.531,0.569,2026-04-29 12:49:00-04:00,0.55,0.03799999999999992,0.555
2026-04-29 16:51:00+00:00,313833.77,0.0,,,,,,0.555,0.531,0.55,2026-04-29 12:51:00-04:00,0.5405,0.019000000000000017,0.555
2026-04-29 16:53:00+00:00,313833.77,0.0,,,,,,0.555,0.535,0.55,2026-04-29 12:53:00-04:00,0.5425,0.015000000000000013,0.555
2026-04-29 16:54:00+00:00,313833.77,41.44,0.535,0.535,0.535,0.535,0.535,0.555,0.535,0.55,2026-04-29 12:54:00-04:00,0.5425,0.015000000000000013,0.535
2026-04-29 16:55:00+00:00,313833.77,0.0,,,,,,0.535,0.536,0.55,2026-04-29 12:55:00-04:00,0.543,0.014000000000000012,0.535
2026-04-29 17:09:00+00:00,313833.77,0.0,,,,,,0.535,0.538,0.55,2026-04-29 13:09:00-04:00,0.544,0.01200000000000001,0.535
2026-04-29 17:10:00+00:00,313833.77,0.0,,,,,,0.535,0.539,0.55,2026-04-29 13:10:00-04:00,0.5445,0.01100000000000001,0.535
2026-04-29 17:14:00+00:00,313833.77,0.0,,,,,,0.535,0.533,0.55,2026-04-29 13:14:00-04:00,0.5415000000000001,0.017000000000000015,0.535
2026-04-29 17:25:00+00:00,313833.77,1.76,0.55,0.55,0.55,0.55,0.55,0.535,0.534,0.55,2026-04-29 13:25:00-04:00,0.542,0.016000000000000014,0.55
2026-04-29 17:26:00+00:00,313833.77,0.0,,,,,,0.55,0.535,0.55,2026-04-29 13:26:00-04:00,0.5425,0.015000000000000013,0.55
